ABINSPAY,ABMEDGOV1,ABHELP1,ABHELP2,ABHELP3,ABHELP4,ABMORAL,ABSTATE1,ABSTATE2,SEX,RACE,CLASS,PARTYID,ID
0,0,0,0,0,0,0,0,0,1,2,2,0,224
0,0,0,0,0,0,0,1,0,1,3,2,2,225
1,0,0,0,0,0,0,0,1,2,1,2,3,226
0,1,0,0,0,0,0,0,0,1,3,3,2,227
0,0,0,0,0,0,0,1,0,2,1,2,2,228
0,1,0,0,0,0,0,0,0,2,1,2,4,229
0,0,0,0,0,1,0,1,0,2,1,3,2,230
0,0,0,0,0,0,0,0,0,2,3,3,4,231
0,0,0,0,0,0,0,0,0,2,1,3,6,232
0,0,0,0,0,0,0,1,0,1,2,3,3,233
0,0,0,0,0,0,0,0,0,2,1,2,4,234
1,1,0,0,0,0,0,0,0,1,1,2,5,235
0,0,0,0,0,0,0,0,0,2,1,4,2,236
0,1,0,0,0,0,0,0,0,2,1,3,6,237
0,0,0,0,0,0,0,0,0,2,1,3,6,238
0,1,0,0,0,0,0,0,0,1,1,3,4,239
1,0,0,0,0,0,0,0,0,2,1,3,3,240
0,1,0,0,0,0,0,0,0,2,1,2,5,241
0,0,0,0,0,0,0,0,0,1,1,2,3,242
0,1,0,0,0,0,0,0,0,2,1,2,6,243
1,0,1,0,0,0,0,0,0,2,1,2,3,244
0,0,0,0,0,0,0,0,0,2,1,1,0,245
0,0,0,0,0,0,0,0,0,2,3,2,0,246
0,1,0,0,0,0,0,0,0,1,3,2,3,247
0,1,0,0,0,0,0,1,1,1,1,2,4,248
0,1,0,0,0,0,0,0,0,1,1,3,4,249
0,1,0,0,0,0,0,0,0,1,1,4,4,250
0,0,0,0,0,0,0,0,1,2,1,1,4,251
0,1,0,0,0,0,0,0,0,1,1,3,2,252
0,1,0,0,0,0,0,0,0,2,1,3,3,253
0,0,0,0,0,0,0,0,0,2,2,2,0,254
0,0,0,0,0,0,0,0,0,1,3,1,4,257
0,0,0,0,0,0,0,0,0,2,1,2,0,258
0,1,0,0,0,0,0,0,0,1,1,2,4,259
0,0,0,0,0,0,0,0,0,1,3,2,1,260
